Prime,Target,Prime Syllables,Target Syllables,Target Type,Trial Type,isPrimed
WHITE,Tam,1,1,pseudo,filler,FALSE
LOOSE,Gheel,1,1,pseudo,filler,FALSE
DRILL,Norps,1,1,pseudo,filler,FALSE
PUSH,Trence,1,1,pseudo,filler,FALSE
OUT,Dro,1,1,pseudo,filler,FALSE
HIM,Drap,1,1,pseudo,filler,FALSE
RAYS,Glames,1,1,pseudo,filler,FALSE
BLEACH,Pode,1,1,pseudo,filler,FALSE
BUY,Shray,1,1,pseudo,filler,FALSE
HIVE,Leld,1,1,pseudo,filler,FALSE
TRAIL,Deeg,1,1,pseudo,filler,FALSE
CORPSE,Cortist,1,2,pseudo,filler,FALSE
ACT,Eebles,1,2,pseudo,filler,FALSE
HANDS,Skender,1,2,pseudo,filler,FALSE
DIRT,Stucant,1,2,pseudo,filler,FALSE
BALL,Cosser,1,2,pseudo,filler,FALSE
SLEEP,Salvey,1,2,pseudo,filler,FALSE
TENT,Trockly,1,2,pseudo,filler,FALSE
DICE,Massays,1,2,pseudo,filler,FALSE
KID,Mellam,1,2,pseudo,filler,FALSE
BEE,Destoose,1,2,pseudo,filler,FALSE
STEPS,Sarter,1,2,pseudo,filler,FALSE
BEAN,Ninking,1,2,pseudo,filler,FALSE
FAR,Tafler,1,2,pseudo,filler,FALSE
BREEZE,Pipcent,1,2,pseudo,filler,FALSE
LEAST,Sanute,1,2,pseudo,filler,FALSE
SLACKS,Doldstatch,1,2,pseudo,filler,FALSE
SQUINT,Befase,1,2,pseudo,filler,FALSE
KNEES,Wemptless,1,2,pseudo,filler,FALSE
CHAIN,Plelling,1,2,pseudo,filler,FALSE
GROOM,Tesser,1,2,pseudo,filler,FALSE
BROAD,Lamy,1,2,pseudo,filler,FALSE
HUGE,Decin,1,2,pseudo,filler,FALSE
WEAVE,Anfy,1,2,pseudo,filler,FALSE
VERSE,Hucket,1,2,pseudo,filler,FALSE
FLOAT,Forcand,1,2,pseudo,filler,FALSE
CREASE,Dechie,1,2,pseudo,filler,FALSE
ART,Passard,1,2,pseudo,filler,FALSE
LOST,Custine,1,2,pseudo,filler,FALSE
DITCH,Gruing,1,2,pseudo,filler,FALSE
MARSH,Tumen,1,2,pseudo,filler,FALSE
RAFT,Inneers,1,2,pseudo,filler,FALSE
WAIST,Coshwhaw,1,2,pseudo,filler,FALSE
SHOW,Canluss,1,2,pseudo,filler,FALSE
SHAME,Practade,1,2,pseudo,filler,FALSE
BEG,Corswer,1,2,pseudo,filler,FALSE
EAST,Pifter,1,2,pseudo,filler,FALSE
FEET,Pavy,1,2,pseudo,filler,FALSE
RAG,Cawthous,1,2,pseudo,filler,FALSE
MAKE,Herslight,1,2,pseudo,filler,FALSE
RUM,Assille,1,2,pseudo,filler,FALSE
DIP,Prebere,1,2,pseudo,filler,FALSE
FRENCH,Lortoids,1,2,pseudo,filler,FALSE
SLEIGH,Exfal,1,2,pseudo,filler,FALSE
TEAR,Randers,1,2,pseudo,filler,FALSE
ZEST,Lisal,1,2,pseudo,filler,FALSE
PISSED,Preduth,1,2,pseudo,filler,FALSE
PHASE,Mynup,1,2,pseudo,filler,FALSE
MISS,Renerk,1,2,pseudo,filler,FALSE
SQUEAK,Fatcher,1,2,pseudo,filler,FALSE
TOUCH,Pateeves,1,2,pseudo,filler,FALSE
NUMBER,Lund,2,1,pseudo,filler,FALSE
SCUBA,Mide,2,1,pseudo,filler,FALSE
TAXI,Selp,2,1,pseudo,filler,FALSE
PRESENT,Snat,2,1,pseudo,filler,FALSE
GULLY,Tarm,2,1,pseudo,filler,FALSE
AGAINST,Paunt,2,1,pseudo,filler,FALSE
PICTURE,Streed,2,1,pseudo,filler,FALSE
MAYBE,Weg,2,1,pseudo,filler,FALSE
TRIUMPH,Spope,2,1,pseudo,filler,FALSE
RUBBER,Sove,2,1,pseudo,filler,FALSE
POLISH,Blape,2,1,pseudo,filler,FALSE
BABY,Graw,2,1,pseudo,filler,FALSE
COVER,Waipse,2,1,pseudo,filler,FALSE
OCEAN,Dacks,2,1,pseudo,filler,FALSE
BOWLING,Stib,2,1,pseudo,filler,FALSE
NOTICE,Brold,2,1,pseudo,filler,FALSE
DARING,Dods,2,1,pseudo,filler,FALSE
HEAVEN,Twilt,2,1,pseudo,filler,FALSE
EYEBROWS,Cug,2,1,pseudo,filler,FALSE
BOXING,Tust,2,1,pseudo,filler,FALSE
BUBBLE,Mong,2,1,pseudo,filler,FALSE
GUITAR,Rourn,2,1,pseudo,filler,FALSE
FROSTED,Mips,2,1,pseudo,filler,FALSE
PARKWAY,Gugs,2,1,pseudo,filler,FALSE
HONEST,Tret,2,1,pseudo,filler,FALSE
APRIL,Mib,2,1,pseudo,filler,FALSE
BACKGROUND,Breep,2,1,pseudo,filler,FALSE
TWILIGHT,Grat,2,1,pseudo,filler,FALSE
HANDLE,Soathe,2,1,pseudo,filler,FALSE
GIGGLE,Geed,2,1,pseudo,filler,FALSE
GHETTO,Pids,2,1,pseudo,filler,FALSE
BEAVER,Gletch,2,1,pseudo,filler,FALSE
CONNECT,Hegs,2,1,pseudo,filler,FALSE
ARMOR,Maff,2,1,pseudo,filler,FALSE
STOMACH,Sish,2,1,pseudo,filler,FALSE
CASHEW,Sonk,2,1,pseudo,filler,FALSE
FINISH,Spip,2,1,pseudo,filler,FALSE
BLANKET,Reat,2,1,pseudo,filler,FALSE
CLOROX,Twa,2,1,pseudo,filler,FALSE
BACKBONE,Tash,2,1,pseudo,filler,FALSE
ASHTRAY,Glives,2,1,pseudo,filler,FALSE
STATION,Ibb,2,1,pseudo,filler,FALSE
ARROW,Ites,2,1,pseudo,filler,FALSE
DISGRACE,Slee,2,1,pseudo,filler,FALSE
OBSERVE,Jang,2,1,pseudo,filler,FALSE
PEDAL,Twell,2,1,pseudo,filler,FALSE
FEMALE,Moy,2,1,pseudo,filler,FALSE
SNEAKY,Nam,2,1,pseudo,filler,FALSE
BASKET,Spood,2,1,pseudo,filler,FALSE
NYLON,Tond,2,1,pseudo,filler,FALSE
MUSTACHE,Decard,2,2,pseudo,filler,FALSE
SELFISH,Ascute,2,2,pseudo,filler,FALSE
BRISTLE,Toding,2,2,pseudo,filler,FALSE
SHOWER,Concume,2,2,pseudo,filler,FALSE
HUSBAND,Trabbor,2,2,pseudo,filler,FALSE
TOPPING,Sether,2,2,pseudo,filler,FALSE
SHATTER,Spooway,2,2,pseudo,filler,FALSE
SHALLOW,Ozam,2,2,pseudo,filler,FALSE
DAIRY,Indlinch,2,2,pseudo,filler,FALSE
CLEANER,Drinay,2,2,pseudo,filler,FALSE
LINEN,Pawny,2,2,pseudo,filler,FALSE
INQUIRE,Flimers,2,2,pseudo,filler,FALSE
MAGIC,Sother,2,2,pseudo,filler,FALSE
AHOY,Sanner,2,2,pseudo,filler,FALSE
ALLOW,Fedden,2,2,pseudo,filler,FALSE
GANGSTER,Eshaws,2,2,pseudo,filler,FALSE
KITCHEN,Raggest,2,2,pseudo,filler,FALSE
SICKLE,Pamply,2,2,pseudo,filler,FALSE
HIKING,Weafly,2,2,pseudo,filler,FALSE
MANY,Sherving,2,2,pseudo,filler,FALSE
OUTCOME,Tiklet,2,2,pseudo,filler,FALSE
TWINKLE,Phipsack,2,2,pseudo,filler,FALSE
DEMI,Isot,2,2,pseudo,filler,FALSE
SHOULDER,Sirmer,2,2,pseudo,filler,FALSE
MANNER,Grottle,2,2,pseudo,filler,FALSE
TREASURE,Pagit,2,2,pseudo,filler,FALSE
BORROW,Privine,2,2,pseudo,filler,FALSE
MENTAL,Blashpa,2,2,pseudo,filler,FALSE
PEBBLE,Aprunct,2,2,pseudo,filler,FALSE
CORAL,Trertful,2,2,pseudo,filler,FALSE
EXTRA,Sopple,2,2,pseudo,filler,FALSE
MESSAGE,Peemut,2,2,pseudo,filler,FALSE
ESSAY,Popals,2,2,pseudo,filler,FALSE
CASTLE,Propire,2,2,pseudo,filler,FALSE
GLORY,Dodding,2,2,pseudo,filler,FALSE
TELLER,Anket,2,2,pseudo,filler,FALSE
IMPACT,Moirdent,2,2,pseudo,filler,FALSE
OUTLET,Parlakes,2,2,pseudo,filler,FALSE
COOLER,Hesten,2,2,pseudo,filler,FALSE
ARTIST,Fober,2,2,pseudo,filler,FALSE
WELCOME,Gluky,2,2,pseudo,filler,FALSE
SKILLET,Stimand,2,2,pseudo,filler,FALSE
HITCHHIKE,Lodel,2,2,pseudo,filler,FALSE
DECAY,Plisty,2,2,pseudo,filler,FALSE
BUSY,Cotzeb,2,2,pseudo,filler,FALSE
HOBO,Enlent,2,2,pseudo,filler,FALSE
SUBJECT,Panbon,2,2,pseudo,filler,FALSE
LANDSCAPE,Chaverb,2,2,pseudo,filler,FALSE
CORRECT,Lelly,2,2,pseudo,filler,FALSE
UPDATE,Makar,2,2,pseudo,filler,FALSE
LOW,SHRUB,1,1,real,filler,FALSE
HALF,HUT,1,1,real,filler,FALSE
THERE,BIG,1,1,real,filler,FALSE
OUNCE,TURN,1,1,real,filler,FALSE
DEATH,TOE,1,1,real,filler,FALSE
BLOUSE,THREAT,1,1,real,filler,FALSE
BLEND,OLD,1,1,real,filler,FALSE
SNEEZE,SIDE,1,1,real,filler,FALSE
TANK,ALL,1,1,real,filler,FALSE
TALL,GONE,1,1,real,filler,FALSE
SKIP,SWISS,1,1,real,filler,FALSE
TACK,JUNK,1,1,real,filler,FALSE
TEASE,JOG,1,1,real,filler,FALSE
GIRL,VAST,1,1,real,filler,FALSE
CAP,TWIG,1,1,real,filler,FALSE
DROP,CLOTHES,1,1,real,filler,FALSE
PRUNE,LEAK,1,1,real,filler,FALSE
MORSE,PLEASE,1,1,real,filler,FALSE
SCALE,GUYS,1,1,real,filler,FALSE
SONG,TIGHT,1,1,real,filler,FALSE
SLIDE,CHUNK,1,1,real,filler,FALSE
SOCKS,DIM,1,1,real,filler,FALSE
SLING,HOLE,1,1,real,filler,FALSE
BOOK,JUMP,1,1,real,filler,FALSE
RACE,STENCH,1,1,real,filler,FALSE
FIRST,PICKLES,1,2,real,filler,FALSE
SCARF,BORDER,1,2,real,filler,FALSE
CASE,SEASHORE,1,2,real,filler,FALSE
SWING,COBRA,1,2,real,filler,FALSE
HIGH,WHISKEY,1,2,real,filler,FALSE
SHIFT,PERFORM,1,2,real,filler,FALSE
COUGH,PAPER,1,2,real,filler,FALSE
GRAIN,BILLBOARD,1,2,real,filler,FALSE
NOUN,CROCHET,1,2,real,filler,FALSE
SWOON,DOZEN,1,2,real,filler,FALSE
GREASE,AIRPORT,1,2,real,filler,FALSE
FIGHT,COFFEE,1,2,real,filler,FALSE
SHOVE,CIRCLE,1,2,real,filler,FALSE
PRIME,TRAUMA,1,2,real,filler,FALSE
HOLD,WHISTLE,1,2,real,filler,FALSE
STEEP,SHINGLE,1,2,real,filler,FALSE
LAUGH,JOURNEY,1,2,real,filler,FALSE
MUG,UNLOAD,1,2,real,filler,FALSE
LOSS,MONKEY,1,2,real,filler,FALSE
BRICK,ATTEND,1,2,real,filler,FALSE
SQUARE,COMPACT,1,2,real,filler,FALSE
AIR,UNTRUE,1,2,real,filler,FALSE
GRAPE,RETREAT,1,2,real,filler,FALSE
FOAM,BARGAIN,1,2,real,filler,FALSE
QUENCH,DISLIKE,1,2,real,filler,FALSE
PARKING,HE,2,1,real,filler,FALSE
DISTANCE,FEED,2,1,real,filler,FALSE
DISHES,FOUR,2,1,real,filler,FALSE
PLIERS,LICK,2,1,real,filler,FALSE
IRON,SNOB,2,1,real,filler,FALSE
CUSHION,DEAL,2,1,real,filler,FALSE
KEEPER,BEEF,2,1,real,filler,FALSE
LEVER,TOMB,2,1,real,filler,FALSE
BASHFUL,MALL,2,1,real,filler,FALSE
LITTER,DAWN,2,1,real,filler,FALSE
BLACKBOARD,BOUND,2,1,real,filler,FALSE
REMAIN,TONE,2,1,real,filler,FALSE
EXCISE,LIKE,2,1,real,filler,FALSE
SPIDER,GAL,2,1,real,filler,FALSE
BANDAID,PHONE,2,1,real,filler,FALSE
WEEKEND,HIDE,2,1,real,filler,FALSE
COMPLAIN,THRIFT,2,1,real,filler,FALSE
MEMBER,LAP,2,1,real,filler,FALSE
OYSTER,TWIST,2,1,real,filler,FALSE
SCAPEGOAT,MOIST,2,1,real,filler,FALSE
DISPLAY,LINT,2,1,real,filler,FALSE
MAGGOT,GLOBE,2,1,real,filler,FALSE
REPAIR,CUSS,2,1,real,filler,FALSE
SCULPTURE,QUIZ,2,1,real,filler,FALSE
CREATE,FAN,2,1,real,filler,FALSE
REFUSE,PLAZA,2,2,real,filler,FALSE
LASTING,FORMAL,2,2,real,filler,FALSE
CAMPING,COMMENT,2,2,real,filler,FALSE
GOING,BUGLE,2,2,real,filler,FALSE
EVEN,BELIEVE,2,2,real,filler,FALSE
POSTAGE,FATHER,2,2,real,filler,FALSE
RAISIN,TRANSPLANT,2,2,real,filler,FALSE
PLASTER,DONKEY,2,2,real,filler,FALSE
SABER,EFFORT,2,2,real,filler,FALSE
ERECT,VACATE,2,2,real,filler,FALSE
EMBRACE,LOBSTER,2,2,real,filler,FALSE
FIGURE,AIRPLANE,2,2,real,filler,FALSE
TABLET,SKINNY,2,2,real,filler,FALSE
FINISHED,ANTLERS,2,2,real,filler,FALSE
SLANDER,QUARTER,2,2,real,filler,FALSE
MISTER,CHICKEN,2,2,real,filler,FALSE
UPTIGHT,MUTTON,2,2,real,filler,FALSE
TREBLE,HULA,2,2,real,filler,FALSE
CIGAR,DISPERSE,2,2,real,filler,FALSE
OFFICE,SUBTLE,2,2,real,filler,FALSE
WEAKNESS,CANYON,2,2,real,filler,FALSE
MEADOW,IGLOO,2,2,real,filler,FALSE
TEMPLE,MOVIE,2,2,real,filler,FALSE
ACRE,TECHNIQUE,2,2,real,filler,FALSE
HATCHET,GARBAGE,2,2,real,filler,FALSE
